e.name,e.internal_id
"THE INTERNATIONAL TRUST COMPANY OF NIUE, INC.",14708
BANNIEL ENTERPRISES S.A.,18068
DANETREE INTERNATIONAL HOLDINGS LIMITED,14889
GOLDEN OCEAN LIMITED,2003641
GOLD PARK LIMITED,201217
GLOBAL MARINE TRANSPORTATION INC.,15255
Professional Directors Limited,1001373
CARTER TOWER LTD.,2000275
FONTEYN INC.,17854
INTERNATIONAL MORESBE CORP.,19668
Lungarno Capital Ltd.,2003617
SOUTH DUNCAN INC.,15439
GARBAWI SAMADI GROUP S.A.,15459
DAXTON GROUP INC.,12809
INDIEMAR INC.,17913
SKYLIGHT S.A.,19725
ETNA INC.,12952
ISBAR INC.,12954
FONDO EUGENIA DE JENSEN Y EDMUND JENSEN S.A.,15279
PACIFIC GLORY LIMITED,201314
AB Aero Technic Ltd,2000149
Reflex Holdings Ltd,2000158
INDIESAL INC.,17915
GRENCA INC.,17980
ETERNAL LEGEND LIMITED,201316
FAMA LIMITED,201342
FORDESA CORPORATION,15543
GRISHAM MANAGEMENT S. A.,15822
EURO IINTERNATIONAL INVESTMENT CORPORATION,1767
DREAMNER EQUITIES S.A.,19656
HENTONWORTH S.A.,20029
AH INC.,12881
MARWELL INVESTMENTS INC.,18040
POLY LIMITED,2003651
WESCOT HOLDING INC.,15441
AURA FINANCE S.A.,1275
CRISWELL INC.,12769
BERATUNG UND BETEILIGUNGEN B & B CORP.,14857
LORBLIN ASSOCIATES INC.,17947
Deezco Investments Ltd.,2000224
Ayeeshah Invests Corporation,2000281
BARTONS FORMATION SERVICES INC.,15877
"CONSULTORES ECONOMICOS, S. A.",1554
EXPLORACIONES MINERALES SNTA. ISA. SNTA. ISA. MINERAL EXPLO.,15344
SPALDING GROUP INC.,15434
FINLEIGH INVESTMENT INC.,14875
KINGSGOLD INVESTMENT S.A.,15287
"COMPAÑIA DE INVERSIONES MARÍA, S.A.",19675
SAM DEVELOPMENTS INC.,19677
DONTRE INC.,15303
GATICO S.A.,14903
"DMA INGENIEROS CONSULTORES, S.A.",20116
DUVESSA HOLDINGS INC.,19344
CANDLE HOLDING S.A.,17968
COBNUTS CORPORATION,12858
ST. NAZAIRE COMPAGNIE S.A.,200033
LAZIO INC.,12949
BLAXTER PROPERTIES INC.,15263
WALRUS COMPANIA DE NAVEGACION S.A.,19470
ALANA FINANCE CORP.,14927
GRUPO ISLA S.A.,200029
RUNWAY INC.,16373
FONTANE CONSULTANTS S.A.,17790
FIRSTINVEST GROUP INC.,17974
NORMANDY CAPITAL CORP.,12878
ALCOVER INC.,20003
"PROSPER INDUSTRY CO., LTD",2002953
PRINGLES S.A.,16687
REBANE MANAGEMENT S.A.,18090
LIONSCUB LTD.,200366
AKITA LIMITED,2000307
YONG XING GROUP LTD.,2002966
"NINGBO MULTI CHANNEL CO., LTD.",2003694
NORTHWOOD INVESTMENTS INC.,200031
TROYDALE LIMITED,201376
PECOB ENTERPRISES INC.,1683
MANUS INTERNATIONAL INC.,18125
RIVAN AIR CHARTERING INC.,1796
WATERLOO INVESTMENTS INC.,200032
SAYYAS LTD.,2002562
ELESMORE DEVELOPMENT INC.,2000315
STAR LIGHT LTD.,2000313
CORNELL ENTERPRISES S.A.,15850
MARLOW ASSOCIATES CORP.,14457
"QINGDAO ROKING INTERNATIONAL TRADE CO., LTD",2001913
"FUTUREVISION OPTICS CO., LTD",2001926
MATRIX SYSTEMS INC.,19412
DEVIN ENTERPRISES CORP.,18945
C. D. INTERTRADE S.A.,1447
WOOLSEY ENTERPRISES S.A.,15586
SEAVALLEY CORP.,18925
ETHRIDGE INC.,19418
Stronila S.A.,2003924
"WEST COAST FUNDING, INC.",18963
OGAPA INC.,17810
GOLDENMOOR ENTERPRISES LTD.,200194
GRIFFIN COMPANY INC.,14833
Market Aces LTD,2002571
AMIRAMEL INC.,18050
PARKLAWN ENTERPRISES INC.,14864
"HANGARES DE CONTADORA, S.A.",19003
CELLHUB LTD.,201215
"Qingdao Nutstar Foodstuff Co., Ltd.",2003975
ATHENA HOLDING S.A.,2000223
Helianthus Ltd.,2000280
ATHINA ALPHA-BETA INC.,14965
ANTAIR INC.,12960
FANE MANAGEMENT S.A.,18304
ATLANTIDA ASSOCIATED INC.,19719
ARKO HARBOUR LIMITED,201325
BARTIZAN HOLDINGS INC.,14982
GRISON ENTERPRISES LTD.,201040
JALISCO DEVELOPMENT INC.,19028
CUALESQUIER HOLDINGS INC.,15335
RBSS Group Company,2002989
SEBCO HOLDING INC.,15361
RIGHTFUL INC.,19042
MOSSACK FONSECA & CO. (COSTA RICA) INC.,19065
ENLACE GUATEMALA INC.,19452
VISION INDUSTRIES LTD. INC.,18985
HALFTON RESOURCES INC.,19020
KALEMA HOLDINGS S.A.,17891
ALDERSON INVESTMENTS INC.,12796
TIMEPALACE LIMITED,2002589
GURU PARTNERS LTD.,200034
"BIENES RAICES VICTORIANO LORENZO, S.A.",17788
CENFOLD INVESTMENTS CORP.,2001936
GALLANT LTD.,200265
STEP LIMITED,201084
FOGGIA INVESTMENT CORP.,2003
ARINTON INVESTMENTS INC.,14973
"UTOPOS, S. A.",150
DUNSMORE SERVICES INC.,202709
TURNCOT INC.,19759
COTTRELL HOLDING INC.,2003050
"INGENIERIA CREATIVA, S.A.",17838
KEF LTD.,2003913
SEA SHELLS CORPORATION,201092
Juventus One Ltd.,2001111
EXECUTIVE BUSINESS S.A.,19730
SKYTRACK INVESTMENTS LTD.,2000395
MILBRIGHT LIMITED,2001134
TALINGO INVESTMENTS CORP.,200227
Giano S.A.,1001385
"SICO INTERNATIONAL, S.A.",15481
"CHEYNE PROPERTIES I, EN COMANDITA POR ACCIONES",17846
TEMPEL ENTERPRISE S.A.,201459
U SERVICE S.A.,15333
"CHEYNE PROPERTIES II, EN COMANDITA POR ACCIONES",17881
"INMOBILIARIA LAS CUMBRES, S. A.",1801
LEGION LIMITED,200171
LOOP TRADING S.A.,15426
INVINCIBLE HOLDINGS INC.,14989
CADIZ TRADING S.A.,18298
OCEANVIEW MANAGEMENT S.A.,201473
THILL PROPERTIES CORP.,18361
CALLE INTERNATIONAL LTD.,201071
QUOTA INVESTMENTS LTD.,2000367
TAI HE HOLDINGS LTD.,2003932
