e.name,e.internal_id
LUCRESS CONSULTANT LIMITED,1000527
ULTRALUX INVESTMENTS CORP.,1003402
LEGAL (NOMINEES) LTD.,1002362
CARSION ENTERPRISES LIMITED,1002382
SNM INVESTMENTS INC.,10246
EVER BEST INTERNATIONAL LTD.,1002376
"OHGA INVESTMENT CONSULTANTS CO., LTD.",1002725
Hong Kong Fuji Holding Investment Limited,1003433
FOURTUNEIGHT PTY LTD,1003107
"PASSION SHIPPING CO., LTD.",1003109
CARL E. SCHMIDT S.A.,10268
MAXIMIN S.A.,1002283
INTERLINK LTD.,1001703
Mutelia Ltd.,1001565
Tang Chi Mining (Group) Corporation,1003620
"EVERUNION RUBBER GROUP CO., LTD.",1003380
G & G MANAGEMENT LTD.,1002569
F.D.V. INTERNATIONAL LTD.,1002571
GLACIER HOLDINGS LTD.,1002769
DUNMAR HOLDINGS S.A.,10284
THE SECUNDUS HOLDING CORP.,10333
DREAM PEARL LTD,1002417
NEW ELEMENT HOLDING LIMITED,1002375
SOPARGEM INTL S.A.,1001639
ROSE LTD.,1002324
FAIRSKY TRADING LIMITED,1002001
HARBOUR TALENT ENTERPRISE LTD.,1002378
MOUNTAIN STAR LTD.,1002972
"SEAMAID INDUSTRIAL CO., LTD",1002706
"Sources Technologies Co., Ltd.",1002724
WELL TIME GROUP LIMITED,1002529
MARINE AND INDUSTRIAL SERVICE S.A.,1001704
SAFANI DEVELOPMENT LTD.,1001733
COVENTRY ENTERPRISES LIMITED,1002266
GROSELLA CORP.,1001687
"HAPPINESS CO., LTD",1002371
TOP ONE INTERNATIONAL LTD.,1005393
BOWLINE INVESTMENT LTD.,1001525
DOGAN FINANCE LIMITED,1002007
Gold Spring Corporation,1006378
MAYBURN INVESTMENT INC.,10077
HARMOND INC.,1002018
R. K. ALI LIMITED,1001668
QUORUM EQUITIES INC.,10078
SCOUT INVESTMENTS S.A.,1001499
ORFEO CORP.,1001688
HUA HUI INVESTMENT LTD.,1003409
CONSOLIDATED DRILLING SERVICES S.A.,10570
Flying Limited,1002895
MC CAIN FINANCIAL SERVICES LIMITED,1001715
GESTION & ADMINISTRATION S.A.,1002311
H&G Corporation,1002453
KPM LIMITED,1001946
