e.name,e.internal_id
ARROWSMITH HOLDINGS S.A.,16069
PAPELAROR INC.,18276
MARNAREL INC.,18281
ARCADE COMPANY INC.,13971
IMMACULATE INVESTMENTS S.A.,13973
Waybloom Ltd.,2001157
SHYANG-YIH INVESTMENT INT'L INC.,17261
INTERNATIONAL EAST HOLDING S.A.,14593
HAWK INVESTMENTS INC.,12663
TELEMOVIES DISTRIBUIDORA LIMITADA INC.,14346
INSOR HOLDING INC.,14698
NINVEST S.A.,14707
IBEX TRADING S.A.,15129
DASCORP INVESTMENTS INC.,15134
CASTAIR INTERNATIONAL S.A.,19111
MUSTAFA ENTERPRISES S.A.,1828
PERCH HOLDINGS CORP.,18334
HOPE HOLDINGS S.A.,18367
ASHMEADE INTERNATIONAL CORP.,2001362
ALVEUS INC.,16858
ORIENTAL LANE ENTERPRISE CORP.,16874
BARNCASTLE TRADING CORPORATION,2001364
BLACKSTONE CORP.,2001372
HUNG HSIANG HARDWARE CORP.,16889
EXCELLENCY INTERNATIONAL CORPORATION,18115
WORLD LINK CORPORATION,2001186
STARSHINE ENTERPRISES INC.,18243
"LAUREATE INTERNATIONAL, INC.",16679
HOPEYEAR INC.,16703
UNITED FOCUS EM CORP.,16706
FORTUNE INTERNATIONAL ENTERPRISE INC.,16747
IRIS HOLDING CO. INC.,1675
VERAPAZEXPORT CORP.,18787
PENRIC S. A.,1825
NORTH BAY ENTERPRISES S.A.,16577
PINNACLE ENTERPRISE CORPORATION,17165
JYI YUAN GROUP CORP.,16980
EVER GLORY INT'L CORP.,18327
RUPAUL OVERSEAS INC.,18257
"THREE P.C. CONDOMINIUM, S. A.",18786
DEMIR CAPITAL MARKETS LTD,2003356
E.E.C. GROUP-FOOD EXPORT LTD. S.A.,17100
MYRIS STAR INVEST INC.,18874
TOYA INC.,2002136
EUROENERGY LTD. S. A.,15886
RODWELL INTERNATIONAL LIMITED INC.,17335
HALSALL TRADING INTERNATIONAL S.A.,1611
ELBAUM INTERNATIONAL S.A.,17422
ERLIX EQUITIES S.A.,17702
WESTBEND INTERNATIONAL CORP.,17712
GENERAL EXPRESS S.A.,16509
MUNSLOW S.A.,14459
INVERSIONES CAYO SOMBRERO S.A.,14245
PENWOOD INTERNATIONAL INC.,14251
SWORD INVESTMENTS GROUP LTD.,121909
FANTASY FLOWERS INC.,16006
COLNER BUSINESS CORP.,2001389
